id,name
Allergy & Immunology,Allergy & Immunology
Anesthesiology,Anesthesiology
Cardiology,Cardiology
Dentistry,Dentistry
Dermatology,Dermatology
Emergency Medicine,Emergency Medicine
Endocrinology,Endocrinology
Family Medicine,Family Medicine
Gastroenterology,Gastroenterology
General Surgery,General Surgery
Geriatrics,Geriatrics
Hematology & Oncology,Hematology & Oncology
Infectious Disease,Infectious Disease
Internal Medicine,Internal Medicine
Nephrology,Nephrology
Neurology,Neurology
Neurosurgery,Neurosurgery
Obstetrics & Gynecology,Obstetrics & Gynecology
Ophthalmology,Ophthalmology
Orthopedic Surgery,Orthopedic Surgery
Otolaryngology (ENT),Otolaryngology (ENT)
Pediatrics,Pediatrics
Physical Medicine & Rehab,Physical Medicine & Rehab
Plastic Surgery,Plastic Surgery
Psychiatry,Psychiatry
Pulmonology,Pulmonology
Radiology,Radiology
Rheumatology,Rheumatology
Urology,Urology
